2012, 2013, 2014, 2015, 2016, 2017
6, 2, 2, 1, 3, 6
7, 2, 5, 23, 19, 22
6, 2, 2, 14, 8, 32
7, 1, 5, 9, 0, 36
7, 1, 2, 13, 2, 79
14, 9, 3, 6, 12, 21
3, 20, 3, 16, 18, 35
6, 7, 1, 0, 15, 9
5, 27, 4, 2, 17, 5
3, 14, 2, 7, 6, 19
5, 2, 11, 12, 5, 10
4, 15, 4, 12, 1, 64
4, 18, 1, 8, 83, 35
5, 18, 8, 9, 39, 4
6, 22, 11, 11, 9, 0
6, 5, 13, 22, 12, 0
4, 22, 3, 2, 39, 0
10, 36, 9, 10, 18, 0
6, 26, 2, 7, 20, 0
5, 14, 5, 10, 19, 0
19, 50, 14, 6, 12, 0
4, 2, 3, 1, 20, 0
1, 11, 3, 3, 24, 0
3, 3, 7, 1, 15, 0
5, 9, 4, 4, 4, 0
9, 10, 0, 16, 11, 0
3, 2, 1, 2, 44, 0
5, 5, 2, 3, 42, 0
6, 7, 4, 2, 30, 0
11, 6, 3, 0, 26, 0
18, 1, 6, 12, 3, 0
1, 1, 4, 3, 13, 0
1, 5, 4, 2, 5, 0
3, 6, 5, 4, 9, 0
5, 0, 4, 2, 12, 0
1, 6, 5, 8, 14, 0
3, 5, 7, 5, 24, 0
4, 7, 8, 6, 20, 0
3, 11, 2, 6, 38, 0
6, 1, 4, 22, 22, 0
5, 1, 2, 16, 15, 0
1, 0, 4, 12, 30, 0
6, 1, 2, 29, 23, 0
4, 2, 4, 13, 39, 0
2, 1, 2, 3, 5, 0
7, 2, 4, 1, 25, 0
16, 10, 14, 8, 12, 0
7, 20, 1, 9, 2, 0
5, 19, 2, 7, 7, 0
14, 2, 2, 4, 7, 0
3, 6, 6, 21, 27, 0
16, 3, 3, 11, 8, 0
0, 0, 0, 0, 2, 0
