"date","close","volume","open","high","low"
"14:14","237.17","970,586","234.10","237.57","233.87"
"2018/10/01","234.6500","1641127.0000","235.8100","236.5300","234.4300"
"2018/09/28","234.8800","1569063.0000","233.8600","235.4700","233.7900"
"2018/09/27","234.0000","1417321.0000","233.7000","235.6700","232.3400"
"2018/09/26","233.8100","1984578.0000","233.5700","235.6600","233.4500"
"2018/09/25","232.9300","1889679.0000","234.0300","234.6600","232.7300"
"2018/09/24","233.3400","1530172.0000","234.1900","234.8500","232.9000"
"2018/09/21","234.7600","3505751.0000","234.3700","235.8400","234.0100"
"2018/09/20","233.9200","1793544.0000","234.6000","234.9960","232.3200"
"2018/09/19","233.8500","1579674.0000","234.6200","234.7400","232.4217"
"2018/09/18","234.3500","1988564.0000","231.9800","235.4700","231.7000"
"2018/09/17","232.0000","2878519.0000","234.0600","234.5850","231.5100"
"2018/09/14","235.3800","3853871.0000","239.0000","239.0000","234.4700"
"2018/09/13","241.2700","1998809.0000","242.5000","243.9900","241.0500"
"2018/09/12","242.4400","1910086.0000","245.0000","245.1200","242.2300"
"2018/09/11","244.2100","2176852.0000","243.9300","245.1600","243.1700"
"2018/09/10","243.1800","2707734.0000","243.0000","243.8042","242.1150"
"2018/09/07","241.4600","2718633.0000","237.3100","242.9500","237.2000"
"2018/09/06","236.6800","1853091.0000","235.4700","236.7700","235.0600"
"2018/09/05","235.6100","2125163.0000","234.5700","236.1700","233.2000"
"2018/09/04","234.6800","1833788.0000","233.1400","234.9100","233.1400"
"2018/08/31","233.1300","1881301.0000","230.2100","233.5200","230.2100"
"2018/08/30","230.8300","1271186.0000","229.6200","231.1600","229.4400"
"2018/08/29","230.1900","1793520.0000","231.7900","232.0000","228.7345"
"2018/08/28","230.2600","1882084.0000","230.9400","231.8300","229.8400"
"2018/08/27","230.0300","1902819.0000","232.7400","232.8600","228.1000"
"2018/08/24","231.2800","1453204.0000","230.0000","232.0600","229.6000"
"2018/08/23","229.5100","1337872.0000","229.0000","230.3500","228.5700"
"2018/08/22","229.2100","1267827.0000","228.4800","230.2300","228.3819"
"2018/08/21","228.5400","2048620.0000","229.4900","230.1000","227.7000"
"2018/08/20","227.3500","1779392.0000","226.0000","228.2200","225.9700"
