"date","close","volume","open","high","low"
"14:18","240.04","592,907","239.97","240.94","238.96"
"2018/10/01","239.9300","1422994.0000","242.4800","243.5500","239.3700"
"2018/09/28","240.7900","1837658.0000","239.9200","241.1800","237.5100"
"2018/09/27","240.7000","1422321.0000","241.4400","242.1800","239.2500"
"2018/09/26","241.1100","2270872.0000","239.5700","243.1900","238.9000"
"2018/09/25","239.2000","2918530.0000","244.3200","244.5200","238.8000"
"2018/09/24","243.8400","1674584.0000","246.5400","247.1200","242.6292"
"2018/09/21","247.3200","2389426.0000","249.2300","250.9500","246.8300"
"2018/09/20","246.8100","2348557.0000","244.6500","247.5700","244.1500"
"2018/09/19","242.8800","3288010.0000","241.3000","243.5100","238.6400"
"2018/09/18","241.5800","6934786.0000","249.7400","250.0000","241.2200"
"2018/09/17","255.7300","2180010.0000","257.2750","259.2500","253.6700"
"2018/09/14","255.4400","1240392.0000","253.4000","256.9100","253.3100"
"2018/09/13","253.1700","1713373.0000","254.4800","257.3300","252.7800"
"2018/09/12","252.9800","1554168.0000","249.3600","254.2700","248.5900"
"2018/09/11","249.3600","1151418.0000","248.8900","250.1400","247.3007"
"2018/09/10","249.4500","1201562.0000","246.0800","250.9800","245.5300"
"2018/09/07","245.9700","1212479.0000","245.0000","248.3300","244.0500"
"2018/09/06","246.1900","1059068.0000","244.1400","247.1300","243.0508"
"2018/09/05","244.7600","1889244.0000","241.0600","245.1900","240.3800"
"2018/09/04","241.2900","1891362.0000","243.9000","243.9300","240.8300"
"2018/08/31","243.9500","1476023.0000","246.4200","246.6500","243.4400"
"2018/08/30","246.7400","1168323.0000","247.4600","247.9300","245.8500"
"2018/08/29","247.6000","981698.0000","248.1200","248.3800","246.8000"
"2018/08/28","247.6300","857924.0000","249.4600","249.6700","247.2600"
"2018/08/27","248.9000","1648831.0000","246.3400","249.8400","246.3400"
"2018/08/24","245.0200","1066105.0000","245.6600","246.0700","244.4752"
"2018/08/23","244.4700","1205352.0000","246.8600","247.6600","243.8050"
"2018/08/22","246.9400","1168170.0000","250.1400","250.7650","246.6000"
"2018/08/21","251.1100","1112259.0000","248.7900","252.2900","248.7900"
"2018/08/20","248.7900","984987.0000","247.3400","249.9200","247.3400"
"2018/08/17","246.9400","802779.0000","246.0400","247.4500","245.4800"
"2018/08/16","246.2500","1029103.0000","245.0200","248.6600","244.5000"
"2018/08/15","243.4800","915322.0000","243.0700","244.0300","239.9000"
"2018/08/14","243.7000","1038827.0000","241.5500","246.0500","241.5500"
"2018/08/13","240.9900","900136.0000","242.0000","242.6700","240.1600"
"2018/08/10","241.7600","1482893.0000","244.1900","244.1900","240.3400"
"2018/08/09","244.8000","1110430.0000","246.0000","247.0700","244.7900"
"2018/08/08","245.4900","888564.0000","247.8000","248.2800","245.3900"
"2018/08/07","247.8500","1136080.0000","245.8500","249.6900","244.6900"
"2018/08/06","245.1300","1202553.0000","242.3600","245.5300","242.3600"
"2018/08/03","243.3200","959440.0000","240.6300","244.0700","240.1900"
"2018/08/02","241.1200","1025601.0000","240.0000","241.9200","238.7801"
"2018/08/01","241.1000","1094729.0000","245.7000","245.7000","240.6750"
"2018/07/31","245.8700","1886191.0000","242.5200","248.6200","242.4350"
"2018/07/30","240.4400","1192452.0000","240.7700","244.3500","240.0200"
"2018/07/27","240.8400","1215261.0000","241.9800","244.1253","240.0700"
"2018/07/26","241.2400","1497949.0000","241.2000","243.0200","239.6800"
"2018/07/25","240.2400","1885295.0000","237.1800","240.5500","236.4400"
"2018/07/24","236.8300","1798118.0000","237.6900","240.3150","236.3000"
"2018/07/23","236.4000","1205448.0000","234.8600","236.8700","234.2400"
"2018/07/20","234.9300","1705412.0000","235.4500","236.0300","233.5300"
"2018/07/19","236.5500","1549790.0000","235.1200","237.3500","234.0000"
"2018/07/18","236.1900","1888251.0000","231.5900","236.8425","231.2800"
"2018/07/17","231.1500","1765816.0000","229.7300","231.4400","229.4600"
"2018/07/16","230.1800","1935844.0000","232.3200","233.9700","229.0500"
"2018/07/13","233.7500","983237.0000","232.0000","234.8900","231.8100"
"2018/07/12","232.6900","1282876.0000","231.7800","233.7500","229.6100"
"2018/07/11","230.2200","1393629.0000","233.2400","233.4700","229.6079"
"2018/07/10","235.6600","1191573.0000","235.4000","237.2000","234.3241"
"2018/07/09","234.9400","1733640.0000","229.2100","235.4600","228.9800"
"2018/07/06","228.2700","1561438.0000","228.5800","229.2890","225.3500"
"2018/07/05","228.5800","1620364.0000","228.3400","229.1300","225.5100"
"2018/07/03","227.6100","922018.0000","230.5900","231.4500","227.2810"
"2018/07/02","229.3900","1579414.0000","225.3700","229.6300","225.2600"
"2018/06/29","227.0600","2262682.0000","228.1700","230.7500","227.0000"
"2018/06/28","226.6700","4065794.0000","226.1700","228.0600","222.4400"
"2018/06/27","229.7500","2594435.0000","236.8500","238.6400","229.6400"
"2018/06/26","236.8500","1954205.0000","235.6000","237.9300","233.7000"
"2018/06/25","234.5300","3603224.0000","239.7300","240.3300","231.9800"
"2018/06/22","241.7700","2684899.0000","247.9000","248.1400","241.5000"
