"date","close","volume","open","high","low"
"14:14","348.7442","532,253","347.99","349.73","346.37"
"2018/10/01","347.9300","790244.0000","347.0900","348.3270","344.8700"
"2018/09/28","345.9600","1827529.0000","345.7200","348.0000","344.7100"
"2018/09/27","346.0500","1169997.0000","344.1600","346.7900","342.4100"
"2018/09/26","342.8800","1159931.0000","343.0000","344.8600","342.3888"
"2018/09/25","343.5400","1360504.0000","338.4800","345.3300","337.4500"
"2018/09/24","337.5800","1176745.0000","336.8100","339.3200","334.3000"
"2018/09/21","337.6600","1849068.0000","334.0700","337.9100","334.0700"
"2018/09/20","333.1300","1973479.0000","339.8600","340.3000","329.0100"
"2018/09/19","339.3000","1768431.0000","343.2200","345.7700","336.5100"
"2018/09/18","343.2200","1142258.0000","340.0000","344.8450","339.4801"
"2018/09/17","339.3400","1117296.0000","336.5000","339.6800","336.0000"
"2018/09/14","335.8000","1303276.0000","331.3100","336.5000","329.5000"
"2018/09/13","331.2800","1290358.0000","326.7200","331.8600","326.5900"
"2018/09/12","325.2800","1324659.0000","321.3800","325.8400","321.3800"
"2018/09/11","322.2300","798190.0000","322.0400","323.8500","320.3000"
"2018/09/10","322.9500","1423980.0000","328.7200","329.1800","322.6600"
"2018/09/07","328.5300","1291968.0000","328.0300","330.8800","326.8900"
"2018/09/06","328.9100","1326540.0000","321.5600","329.5400","321.3000"
"2018/09/05","321.3300","892718.0000","320.8900","321.6700","319.5100"
"2018/09/04","321.9100","947319.0000","320.0000","322.2500","317.5960"
"2018/08/31","320.4100","1055485.0000","318.5600","320.8900","317.0050"
"2018/08/30","321.8500","1408033.0000","324.0000","326.4900","320.9300"
"2018/08/29","324.3200","965941.0000","324.4600","324.9200","322.2000"
"2018/08/28","324.3400","819972.0000","324.6600","325.0000","322.3000"
"2018/08/27","324.3400","737053.0000","322.0700","325.0000","322.0000"
"2018/08/24","321.2900","773168.0000","320.0000","321.3900","318.7200"
"2018/08/23","320.0100","717669.0000","322.0800","322.1500","318.8700"
"2018/08/22","321.9200","690515.0000","324.0500","324.5229","321.8000"
"2018/08/21","324.3900","1164410.0000","324.4000","325.4100","323.1300"
"2018/08/20","324.2200","876515.0000","325.2600","325.9700","323.8100"
"2018/08/17","325.2300","1389616.0000","325.8600","327.4180","324.7200"
"2018/08/16","325.8600","1195214.0000","320.0000","326.6200","319.8100"
"2018/08/15","317.7000","1321366.0000","318.3700","318.9100","314.4400"
"2018/08/14","318.5900","974471.0000","314.8900","320.2150","314.6300"
"2018/08/13","313.6400","790265.0000","312.5100","315.2600","312.0000"
"2018/08/10","313.1200","1081660.0000","314.9000","314.9000","311.3900"
"2018/08/09","315.7100","1045254.0000","314.7900","316.5003","312.6700"
"2018/08/08","315.3100","922641.0000","317.5000","317.7800","314.2100"
"2018/08/07","317.4100","1088520.0000","317.2400","318.2400","313.5800"
"2018/08/06","316.9200","1736650.0000","318.6100","318.6100","313.6800"
"2018/08/03","320.5500","945411.0000","322.6200","322.6200","319.1100"
"2018/08/02","322.0200","820321.0000","322.5300","323.1500","320.2400"
"2018/08/01","324.9300","1392222.0000","325.5900","326.0700","322.5700"
"2018/07/31","326.1000","986334.0000","321.3800","326.4300","321.3800"
"2018/07/30","320.1100","1269820.0000","324.1000","325.9900","319.6200"
"2018/07/27","324.0900","1009890.0000","324.4000","325.1400","321.7900"
"2018/07/26","322.9400","2011767.0000","324.8300","325.8700","321.1700"
"2018/07/25","324.3600","2104036.0000","323.0500","324.9700","316.6700"
"2018/07/24","322.5700","3253158.0000","325.0000","329.6500","313.0000"
"2018/07/23","318.3300","1578061.0000","322.5500","323.5000","316.7900"
"2018/07/20","322.5500","1563942.0000","318.3500","322.8500","317.4400"
"2018/07/19","319.6000","759915.0000","319.3000","320.8600","318.1800"
"2018/07/18","319.7700","860262.0000","317.7100","320.5800","316.5000"
"2018/07/17","317.5000","867589.0000","319.8900","320.9800","316.1200"
"2018/07/16","319.0500","1303339.0000","319.3800","323.3800","317.5800"
"2018/07/13","318.3700","1662458.0000","313.6800","319.5000","313.5200"
"2018/07/12","313.3100","1283165.0000","309.4000","314.4700","308.8000"
"2018/07/11","306.5800","895659.0000","307.8300","309.3800","305.9300"
"2018/07/10","308.8300","1522773.0000","308.1100","310.9100","307.2100"
"2018/07/09","306.4800","1244361.0000","301.0000","307.4700","300.3596"
"2018/07/06","299.1900","1103446.0000","298.4100","301.5100","296.2150"
"2018/07/05","299.1900","986256.0000","300.2800","303.1600","297.1900"
"2018/07/03","299.4600","650973.0000","300.0000","302.5900","298.6157"
"2018/07/02","299.1200","968492.0000","294.1700","299.3000","292.3150"
"2018/06/29","295.4300","1266696.0000","297.4800","299.9800","295.2600"
"2018/06/28","295.2400","1423592.0000","295.0000","296.7100","291.5200"
"2018/06/27","294.7800","1521403.0000","299.3900","302.1200","294.5400"
"2018/06/26","299.0800","1670813.0000","298.8100","300.4300","297.0800"
"2018/06/25","298.7700","1944787.0000","297.3500","303.3300","296.0700"
"2018/06/22","299.3800","1403493.0000","301.3800","301.8100","298.6900"
"2018/06/21","300.3800","1517054.0000","302.6500","302.8600","298.1000"
"2018/06/20","302.8600","1620638.0000","302.3700","304.9700","301.2300"
"2018/06/19","302.5200","1821320.0000","306.7200","307.6300","301.6500"
