"date","close","volume","open","high","low"
"14:16","46.44","2,667,769","46.64","47.0697","46.065"
"2018/10/01","46.7700","4781577.0000","46.9800","47.3500","46.5950"
"2018/09/28","46.7200","6754062.0000","46.5700","46.9750","46.0400"
"2018/09/27","46.9000","4904588.0000","47.3500","47.3700","46.8800"
"2018/09/26","47.1900","4839396.0000","48.0200","48.0800","47.0400"
"2018/09/25","47.9200","6171296.0000","48.4700","48.6800","47.9000"
"2018/09/24","48.3200","4859708.0000","48.6300","48.7900","48.1400"
"2018/09/21","48.7900","10262260.0000","48.5800","48.9200","48.2300"
"2018/09/20","48.4200","5889093.0000","48.1800","48.7250","48.1500"
"2018/09/19","47.7200","6092163.0000","46.8200","48.1200","46.8200"
"2018/09/18","46.8100","4870464.0000","46.3000","47.0412","46.1400"
"2018/09/17","46.1900","4799537.0000","46.6300","46.8400","46.0700"
"2018/09/14","46.5300","4551324.0000","45.6400","46.7200","45.6400"
"2018/09/13","45.5200","4494653.0000","45.1200","45.5800","45.1200"
"2018/09/12","44.9100","4563921.0000","45.0800","45.3650","44.8050"
"2018/09/11","45.2100","4777258.0000","45.3500","45.4600","44.9300"
"2018/09/10","45.5900","3585137.0000","45.9700","45.9800","45.4550"
"2018/09/07","45.7200","4028197.0000","45.9500","46.0400","45.4100"
"2018/09/06","45.8300","3218352.0000","46.3300","46.5200","45.7100"
"2018/09/05","46.3300","3573660.0000","46.1700","46.6700","46.0300"
"2018/09/04","46.1300","3656981.0000","45.7600","46.2499","45.5100"
"2018/08/31","45.8900","4495741.0000","45.9900","46.0350","45.6350"
"2018/08/30","46.1500","5504923.0000","46.8200","46.8300","45.9250"
"2018/08/29","46.9700","4106741.0000","46.9300","47.1600","46.5300"
"2018/08/28","46.9400","3508179.0000","47.2500","47.4500","46.8500"
"2018/08/27","47.0600","3706509.0000","46.6500","47.3450","46.5600"
"2018/08/24","46.4200","2998494.0000","46.2100","46.5200","46.1700"
"2018/08/23","45.9700","4092771.0000","46.3500","46.3800","45.8400"
"2018/08/22","46.4100","3683105.0000","46.7600","46.9000","46.3300"
"2018/08/21","46.8100","8393296.0000","46.0800","47.1800","46.0100"
"2018/08/20","46.1200","4110710.0000","45.9400","46.4500","45.9300"
"2018/08/17","45.9400","5158940.0000","45.4400","46.0800","45.2600"
"2018/08/16","45.5700","5360363.0000","45.1900","45.8200","45.1500"
"2018/08/15","44.8600","5796138.0000","44.6300","44.9800","44.3200"
"2018/08/14","45.1000","5396124.0000","44.5200","45.1899","44.3750"
"2018/08/13","44.4300","5255385.0000","44.4700","44.7000","44.1600"
"2018/08/10","44.6500","7634951.0000","45.6000","45.8300","44.2500"
"2018/08/09","46.1200","4684636.0000","46.3700","46.6900","46.0833"
"2018/08/08","46.3700","4773085.0000","46.0500","46.5100","45.9500"
"2018/08/07","46.0500","6373184.0000","46.1000","46.6450","45.9200"
"2018/08/06","45.9100","5945022.0000","45.3100","46.0750","45.1310"
