"date","close","volume","open","high","low"
"14:12","318.20","452,017","319","319.66","317.85"
"2018/10/01","318.5000","830427.0000","318.0500","319.4400","316.1000"
"2018/09/28","317.3700","1015862.0000","316.4100","317.6300","315.0950"
"2018/09/27","316.7700","1285211.0000","314.2800","316.8500","312.4850"
"2018/09/26","314.5800","1492465.0000","315.4900","316.5350","313.0600"
"2018/09/25","314.4100","1134096.0000","306.6800","314.7392","306.1100"
"2018/09/24","306.1100","798609.0000","306.6600","307.1000","304.1000"
"2018/09/21","306.6900","1669525.0000","303.0000","307.9300","302.7600"
"2018/09/20","301.4100","2415255.0000","311.8000","312.8500","296.6634"
"2018/09/19","312.2600","1823268.0000","317.6600","319.1000","310.9700"
"2018/09/18","317.6300","1305374.0000","311.4300","318.0600","311.4300"
"2018/09/17","311.0200","1111682.0000","307.4400","311.5000","307.0122"
"2018/09/14","307.3400","820537.0000","303.8000","307.7300","303.0100"
"2018/09/13","303.4100","1189296.0000","303.5000","308.0400","300.0300"
"2018/09/12","303.5300","899403.0000","302.0500","304.4200","301.4650"
"2018/09/11","302.9700","1252996.0000","302.9000","305.4300","301.8000"
"2018/09/10","303.9400","1731104.0000","300.8800","304.0200","298.5700"
"2018/09/07","300.5200","740651.0000","301.2200","301.3500","298.4200"
"2018/09/06","301.6900","1171012.0000","297.0400","302.1800","297.0400"
"2018/09/05","296.7500","646511.0000","296.9500","298.1500","295.7550"
"2018/09/04","297.6500","1099621.0000","297.6800","298.7100","296.2166"
"2018/08/31","298.4900","1040652.0000","297.5500","299.2500","296.9300"
"2018/08/30","298.6900","1012478.0000","297.0300","299.5000","296.1800"
"2018/08/29","297.1100","1233364.0000","299.3100","300.6000","296.3200"
"2018/08/28","300.4100","797612.0000","300.4400","300.7600","298.1100"
"2018/08/27","300.1300","636201.0000","299.1800","300.8900","298.1500"
"2018/08/24","298.0400","975533.0000","296.3600","299.8500","296.3600"
"2018/08/23","297.5800","1409080.0000","296.6100","299.6600","295.7400"
"2018/08/22","297.2400","984819.0000","297.0900","299.1900","296.7000"
"2018/08/21","298.1800","1648935.0000","296.7900","298.7400","296.6250"
"2018/08/20","297.5000","1164514.0000","295.0000","298.6000","294.2994"
"2018/08/17","294.3900","1121500.0000","291.2400","295.8000","290.7657"
"2018/08/16","291.9900","934994.0000","292.2600","293.7250","291.2650"
"2018/08/15","291.5100","1056051.0000","292.5700","293.1900","290.0000"
"2018/08/14","293.8600","949521.0000","292.9800","296.3000","292.0300"
"2018/08/13","292.0200","896415.0000","291.2300","293.4150","290.2900"
"2018/08/10","291.3200","987545.0000","290.8300","294.7000","289.3000"
"2018/08/09","291.4300","1632679.0000","295.7000","295.7200","289.8610"
"2018/08/08","294.9500","675614.0000","295.3900","295.8000","293.2500"
"2018/08/07","295.2600","1072387.0000","295.6900","297.8200","293.0150"
"2018/08/06","295.4300","996978.0000","296.5100","297.0400","292.3800"
"2018/08/03","297.2500","704030.0000","298.4300","298.6700","295.0000"
"2018/08/02","298.6900","924289.0000","297.7000","300.1200","296.7200"
"2018/08/01","300.9000","1476570.0000","300.0000","301.4650","297.7300"
"2018/07/31","300.4900","1723953.0000","296.7000","302.5600","294.7200"
"2018/07/30","294.8300","1272302.0000","300.6700","301.6400","294.1600"
"2018/07/27","301.6500","2145520.0000","295.9900","302.5699","295.9900"
"2018/07/26","295.3100","3199553.0000","293.5000","295.5100","287.0900"
"2018/07/25","295.5000","4487968.0000","310.0000","312.8700","293.2744"
"2018/07/24","316.1700","1920606.0000","320.1500","323.7800","310.5500"
"2018/07/23","316.6700","786735.0000","324.6800","324.6800","316.3500"
"2018/07/20","323.9300","679780.0000","322.7300","325.2815","321.4200"
"2018/07/19","324.1600","856267.0000","322.9500","324.4100","321.0200"
"2018/07/18","323.7100","911950.0000","322.1700","324.4100","320.5250"
"2018/07/17","321.2000","759330.0000","320.9500","322.5300","319.6900"
"2018/07/16","320.3300","606486.0000","322.7900","324.4700","320.0800"
"2018/07/13","321.7300","1418596.0000","319.9500","322.3100","316.2800"
"2018/07/12","322.1300","1212929.0000","315.6800","322.5100","314.0400"
"2018/07/11","311.7700","718225.0000","313.1100","314.5800","311.0500"
"2018/07/10","315.1200","800895.0000","313.7500","315.5000","312.5700"
"2018/07/09","313.7000","862750.0000","308.4900","315.3400","308.1200"
"2018/07/06","307.3600","690047.0000","307.3700","310.0900","305.1250"
"2018/07/05","308.2500","669255.0000","309.5400","310.5129","305.5500"
"2018/07/03","308.8400","335992.0000","309.9100","312.1000","307.7800"
"2018/07/02","308.8700","636727.0000","306.4400","310.9800","304.6200"
"2018/06/29","307.7000","688831.0000","308.4600","312.8800","307.4400"
"2018/06/28","307.7200","879754.0000","306.7300","309.7324","303.0200"
"2018/06/27","306.5900","1053277.0000","309.9300","313.2400","306.4800"
"2018/06/26","309.3400","1127086.0000","314.1700","315.1400","309.0300"
"2018/06/25","313.7200","1240634.0000","309.3900","314.9300","309.0100"
"2018/06/22","312.0600","921193.0000","315.0000","316.4670","311.3950"
"2018/06/21","313.4500","1650832.0000","310.9500","313.8900","307.2600"
"2018/06/20","312.0800","998664.0000","314.3300","315.1000","311.5600"
"2018/06/19","313.8400","1117783.0000","318.8200","320.7200","313.0200"
"2018/06/18","322.4200","932776.0000","320.8000","323.4400","320.0600"
"2018/06/15","321.5200","1533414.0000","322.5600","323.9200","318.8100"
"2018/06/14","322.5600","1135376.0000","328.0200","330.0000","321.5050"
"2018/06/13","327.8200","928300.0000","329.1700","331.2500","326.6600"
"2018/06/12","329.3500","1223937.0000","335.9100","335.9100","327.1900"
"2018/06/11","334.3600","863508.0000","338.5000","339.8371","333.8200"
"2018/06/08","338.6300","849095.0000","338.9700","339.2000","336.1400"
"2018/06/07","338.0700","748925.0000","336.6700","340.1400","336.3500"
"2018/06/06","335.2200","1359196.0000","332.4100","337.2500","332.4100"
"2018/06/05","329.1900","865596.0000","333.3300","333.4300","328.4300"
"2018/06/04","332.8100","684718.0000","330.0000","333.1700","329.2900"
"2018/06/01","329.9900","884239.0000","327.6400","330.1900","327.6400"
"2018/05/31","327.2500","2125944.0000","330.1400","331.7900","326.6000"
"2018/05/30","331.5700","733095.0000","328.0700","332.0000","325.7000"
"2018/05/29","326.4800","1062519.0000","330.1400","331.5200","323.7200"
"2018/05/25","331.9300","1047116.0000","333.0000","333.9300","330.1700"
"2018/05/24","332.8100","1247197.0000","328.0000","333.5500","327.0900"
"2018/05/23","328.2300","825307.0000","323.0900","328.3600","322.1800"
"2018/05/22","324.5000","1557030.0000","330.1500","330.1500","323.1900"
"2018/05/21","331.3600","734924.0000","330.7100","332.9300","328.9300"
"2018/05/18","329.0200","1185528.0000","325.1500","330.2900","325.0050"
"2018/05/17","324.5200","1013355.0000","321.1400","325.7400","320.6600"
"2018/05/16","321.1600","965267.0000","321.8200","324.9200","320.2000"
"2018/05/15","319.9700","1249466.0000","317.3500","323.3500","316.3700"
"2018/05/14","318.7200","1192513.0000","325.1600","325.6000","318.0800"
