"date","close","volume","open","high","low"
"14:22","108.84","4,472,968","110.45","111.11","107.70"
"2018/10/01","110.7100","5053346.0000","112.1500","112.4800","110.6700"
"2018/09/28","111.8000","5672674.0000","111.5400","112.0500","110.9100"
"2018/09/27","111.0500","3841418.0000","111.4300","112.4000","110.9100"
"2018/09/26","111.5000","3864142.0000","112.2700","112.8600","111.3100"
"2018/09/25","111.9700","3415223.0000","112.6400","112.7500","111.7600"
"2018/09/24","112.2700","3387401.0000","114.1000","114.7200","112.2000"
"2018/09/21","114.9100","6797274.0000","115.2600","115.5200","114.8350"
"2018/09/20","115.2200","3338809.0000","114.2300","115.5100","114.1100"
"2018/09/19","113.7700","2841267.0000","113.9500","114.2400","113.4600"
"2018/09/18","113.9800","4078045.0000","115.4750","115.4750","113.6900"
"2018/09/17","115.4000","2960275.0000","114.6000","115.4500","114.2200"
"2018/09/14","114.5700","2573980.0000","114.8900","114.8900","113.7220"
"2018/09/13","114.9900","3542395.0000","114.4900","115.0100","113.6940"
"2018/09/12","113.8500","3646085.0000","113.3100","114.2311","113.0400"
"2018/09/11","113.3300","2779551.0000","111.8500","113.7450","111.8500"
"2018/09/10","113.5700","3209959.0000","112.9200","113.9900","112.7000"
"2018/09/07","112.7400","3831360.0000","112.8500","113.5000","111.5100"
"2018/09/06","113.5000","4807195.0000","112.0000","113.5300","111.4400"
"2018/09/05","113.1200","4392105.0000","110.7600","113.1700","110.7000"
"2018/09/04","111.0000","4512014.0000","111.8200","112.0900","110.4500"
"2018/08/31","112.0100","4247648.0000","111.7700","112.5800","111.2600"
"2018/08/30","111.9600","2118974.0000","111.8700","112.2300","111.5500"
"2018/08/29","112.0500","2403189.0000","111.3000","112.1173","111.2200"
"2018/08/28","111.1700","5229382.0000","112.2200","112.4450","110.8900"
"2018/08/27","112.4100","3155627.0000","112.5800","112.7700","111.8300"
"2018/08/24","112.1500","3676715.0000","111.8700","112.5299","111.8000"
"2018/08/23","111.9300","4508735.0000","112.1700","112.2300","111.5100"
"2018/08/22","112.2400","3860901.0000","113.7000","113.8200","111.9600"
"2018/08/21","113.7200","4629475.0000","115.2500","115.2500","113.6500"
"2018/08/20","114.8400","3673528.0000","114.9900","115.8500","114.6000"
"2018/08/17","114.9600","3391615.0000","114.0000","115.0900","114.0000"
"2018/08/16","114.2500","4454759.0000","113.7400","114.7300","113.3700"
"2018/08/15","113.4500","6511201.0000","112.7600","113.7400","112.2500"
"2018/08/14","113.1000","3797566.0000","112.7000","113.4900","112.1100"
"2018/08/13","113.0200","3170056.0000","112.8100","113.1400","112.0100"
"2018/08/10","112.8700","3599435.0000","113.5900","113.9700","112.5700"
"2018/08/09","113.7000","3927977.0000","114.1200","114.1200","113.3800"
"2018/08/08","113.4900","5172821.0000","114.5200","114.8500","113.4700"
"2018/08/07","114.2200","6814300.0000","116.4500","116.4500","113.5300"
"2018/08/06","117.3800","6704661.0000","117.2500","118.4400","116.9000"
"2018/08/03","116.3000","3875089.0000","114.7700","116.7000","114.3700"
"2018/08/02","114.6900","4132640.0000","113.6000","114.9300","113.0900"
"2018/08/01","113.6100","4168924.0000","114.4200","114.5250","113.2250"
"2018/07/31","115.0000","4709652.0000","114.6600","115.4900","114.1100"
"2018/07/30","114.1800","3619238.0000","113.7800","114.5900","113.6700"
"2018/07/27","114.2800","4563735.0000","114.7700","115.3500","114.0250"
"2018/07/26","115.0000","5084272.0000","116.1400","116.9000","114.8800"
"2018/07/25","115.2100","4761455.0000","114.9400","115.6700","114.5000"
"2018/07/24","114.7400","5081243.0000","114.1400","114.9200","113.8500"
"2018/07/23","114.3900","7126868.0000","115.5200","115.9800","113.5800"
"2018/07/20","116.0100","27559670.0000","115.7500","116.7900","115.2200"
"2018/07/19","115.7700","8178465.0000","114.7700","116.5900","114.7500"
"2018/07/18","114.8300","5379026.0000","114.9200","115.0000","113.8900"
"2018/07/17","114.8800","6726084.0000","113.4700","115.0300","113.4700"
"2018/07/16","112.9600","5413557.0000","112.5600","113.1210","111.7511"
"2018/07/13","112.6900","4407581.0000","111.6800","112.7900","111.6200"
"2018/07/12","111.5300","5497450.0000","112.5400","112.7100","110.9700"
"2018/07/11","112.5400","5507749.0000","112.6400","112.9400","112.1000"
"2018/07/10","112.8900","16045140.0000","110.6200","113.0000","109.6800"
"2018/07/09","107.7600","7816655.0000","109.1300","109.3000","107.5200"
"2018/07/06","109.5600","4224416.0000","109.4900","110.0200","108.9700"
"2018/07/05","109.5500","4810664.0000","108.9100","109.6150","108.0000"
"2018/07/03","108.8000","3769084.0000","108.5800","109.5700","108.0550"
"2018/07/02","109.5300","4664851.0000","108.7000","110.0000","108.3100"
"2018/06/29","108.8700","4498853.0000","108.7200","109.5000","107.8000"
"2018/06/28","108.6800","4297365.0000","108.4200","109.3000","108.3000"
"2018/06/27","108.2700","6185519.0000","108.3700","108.9550","107.6200"
"2018/06/26","108.0500","5029725.0000","109.0500","109.1700","107.4700"
"2018/06/25","108.9900","5048681.0000","107.7100","109.5900","107.7100"
"2018/06/22","108.3700","5525620.0000","107.2400","108.6700","107.1400"
"2018/06/21","107.2400","6214618.0000","106.5700","107.4250","106.3000"
"2018/06/20","105.8100","4600694.0000","105.7300","106.1100","105.3600"
"2018/06/19","105.9600","5484147.0000","105.4900","106.6800","105.2200"
"2018/06/18","105.3800","5970309.0000","107.0100","107.2100","104.8300"
"2018/06/15","107.6100","10570890.0000","105.1000","107.7500","104.8200"
"2018/06/14","105.1300","4807024.0000","105.2600","105.3600","104.4300"
"2018/06/13","105.2700","7440741.0000","104.1600","105.6000","104.1600"
"2018/06/12","104.4800","4970088.0000","103.2300","104.5500","102.8200"
"2018/06/11","103.2100","3943836.0000","102.6100","103.4100","102.2700"
"2018/06/08","102.4900","4687877.0000","101.1800","102.6100","101.1800"
"2018/06/07","101.1600","4974556.0000","100.5100","101.5100","100.3300"
"2018/06/06","100.8300","3946644.0000","100.4000","100.8600","99.8150"
"2018/06/05","100.2100","4845891.0000","100.4600","100.9595","99.8800"
"2018/06/04","100.1200","3931962.0000","100.7700","101.0900","100.0250"
"2018/06/01","100.2500","4414437.0000","100.5400","100.9300","99.6500"
"2018/05/31","100.2500","8269653.0000","101.1500","101.3000","99.6600"
"2018/05/30","101.8300","6254650.0000","101.6600","102.2400","101.0900"
"2018/05/29","101.1000","8286199.0000","100.0000","101.2850","100.0000"
"2018/05/25","100.3100","5323673.0000","100.1800","101.1100","99.9000"
"2018/05/24","100.1800","4664902.0000","100.3100","100.5800","99.7600"
"2018/05/23","100.4500","6249806.0000","99.9300","100.6000","99.6100"
"2018/05/22","99.9300","6806299.0000","99.7800","100.4600","99.4300"
"2018/05/21","99.5100","6602783.0000","98.2200","99.9800","98.0600"
"2018/05/18","97.5100","6888935.0000","98.3100","98.4500","97.3200"
"2018/05/17","97.9200","6522519.0000","97.5500","97.9900","97.1500"
"2018/05/16","97.1900","5101585.0000","96.6400","97.5500","96.5500"
"2018/05/15","96.8000","6554450.0000","96.6100","97.2400","96.3550"
"2018/05/14","97.1500","4175700.0000","97.6900","97.7299","96.7300"
"2018/05/11","97.4300","3507203.0000","97.5800","98.2600","96.8800"
"2018/05/10","97.2700","3094853.0000","96.4300","97.7400","96.4000"
"2018/05/09","96.1600","6200146.0000","97.1900","97.5200","95.9400"
"2018/05/08","96.7900","5242629.0000","97.9100","97.9900","96.4300"
"2018/05/07","98.2300","3479972.0000","98.9800","99.3100","98.0700"
"2018/05/04","98.9900","5934442.0000","97.5500","99.7700","97.5000"
"2018/05/03","97.6000","6638011.0000","97.4800","98.0900","96.7000"
"2018/05/02","97.2300","5927150.0000","99.1600","99.3573","97.0300"
"2018/05/01","99.1300","4542500.0000","100.3600","100.9300","98.5700"
"2018/04/30","100.9400","5479836.0000","101.8500","102.3850","100.5800"
"2018/04/27","101.7100","4765848.0000","102.2200","102.9900","101.6500"
"2018/04/26","103.2600","5956965.0000","102.2500","104.0800","101.1500"
"2018/04/25","101.1500","4753331.0000","101.2100","102.3600","100.8500"
"2018/04/24","101.4400","5673878.0000","102.6200","102.8500","100.9700"
"2018/04/23","102.5800","6491327.0000","102.5500","102.8000","101.8400"
"2018/04/20","102.4800","8512543.0000","105.4500","105.6000","102.2700"
"2018/04/19","105.5700","6282714.0000","106.7100","106.9400","105.0800"
"2018/04/18","106.9800","6521311.0000","108.9700","109.3600","106.4600"
"2018/04/17","108.8700","4774957.0000","108.6900","109.0800","107.9800"
"2018/04/16","109.9200","2661474.0000","109.7500","110.6400","109.5200"
"2018/04/13","109.2600","2595859.0000","108.8500","109.4600","108.5200"
"2018/04/12","108.3100","2691587.0000","108.9600","109.5100","108.2700"
"2018/04/11","108.6800","3680427.0000","108.5700","109.4700","108.4200"
"2018/04/10","109.4000","2817024.0000","109.7400","110.2000","108.9200"
"2018/04/09","109.3800","2619974.0000","109.5400","110.4500","108.7800"
"2018/04/06","109.3000","3510151.0000","110.0600","110.9800","108.7700"
"2018/04/05","110.5700","3168865.0000","110.4300","111.1800","109.7500"
"2018/04/04","110.1800","4694123.0000","107.7800","110.7300","107.2400"
"2018/04/03","108.1900","4697525.0000","107.3900","108.5300","106.5900"
"2018/04/02","107.0500","4294313.0000","108.6200","109.2200","106.4400"
"2018/03/29","109.1500","3828004.0000","110.1200","110.6600","108.9700"
"2018/03/28","109.1800","6405222.0000","108.1400","110.1100","108.0000"
"2018/03/27","107.6400","4916632.0000","107.2300","108.5400","106.5100"
"2018/03/26","106.8100","3783782.0000","106.6800","107.4700","106.0900"
"2018/03/23","106.1500","4872717.0000","108.0900","108.7400","105.9380"
"2018/03/22","107.9400","4321120.0000","108.4500","109.6700","107.8000"
"2018/03/21","108.7400","3864553.0000","109.8900","110.0800","108.5300"
"2018/03/20","109.9000","3317905.0000","110.7500","111.3000","109.8300"
"2018/03/19","110.3600","4196065.0000","111.6500","111.9900","110.0500"
"2018/03/16","111.6400","7477630.0000","112.3300","113.2000","111.5800"
"2018/03/15","111.9900","3878385.0000","112.4000","113.2500","111.6600"
"2018/03/14","112.6100","4055646.0000","113.5700","113.7700","112.2300"
"2018/03/13","113.6000","4542639.0000","113.2700","113.9000","112.7200"
"2018/03/12","112.7500","4509634.0000","112.5000","113.0900","112.0750"
"2018/03/09","112.5400","3680521.0000","112.2700","112.5700","111.6424"
"2018/03/08","112.0800","5667810.0000","110.0300","112.1300","109.5800"
"2018/03/07","109.8400","4176491.0000","108.8900","110.0600","108.6100"
"2018/03/06","109.5800","3196991.0000","109.3600","109.6200","108.4400"
"2018/03/05","109.4300","3781700.0000","108.4600","109.6000","108.0200"
"2018/03/02","109.0400","4903611.0000","107.9100","109.3200","107.9000"
"2018/03/01","108.1200","6890547.0000","109.2100","109.8800","107.2410"
"2018/02/28","109.7300","4629596.0000","111.0000","111.6500","109.6800"
"2018/02/27","110.8900","6384807.0000","111.1900","112.0800","110.7100"
"2018/02/26","110.9400","4935490.0000","110.1200","111.1700","110.0300"
"2018/02/23","109.6800","4760424.0000","109.3600","110.0500","108.5700"
"2018/02/22","109.2600","5394641.0000","108.3300","109.9700","108.0200"
"2018/02/21","108.0000","4501249.0000","109.3500","109.8405","107.9400"
"2018/02/20","109.4800","3828880.0000","110.9600","110.9800","109.3400"
"2018/02/16","111.0600","5578503.0000","111.0600","111.7000","109.7600"
"2018/02/15","110.9700","5118283.0000","109.5300","111.0400","108.7200"
"2018/02/14","109.1100","7696283.0000","111.6700","111.9000","108.7600"
"2018/02/13","112.1400","5272495.0000","112.0000","112.6700","110.6800"
"2018/02/12","111.9300","4748590.0000","111.9000","112.7500","111.0600"
"2018/02/09","111.1800","5300688.0000","110.8100","111.9900","108.8800"
"2018/02/08","110.1500","4886842.0000","113.7000","113.7200","110.0900"
"2018/02/07","113.5000","4926212.0000","113.9700","115.7700","112.7500"
"2018/02/06","113.5600","6642804.0000","112.4400","113.9500","110.1500"
"2018/02/05","114.4600","5327000.0000","118.5700","119.6600","114.4101"
"2018/02/02","118.6700","3335605.0000","119.9100","120.2800","118.4000"
"2018/02/01","120.3000","3484923.0000","119.9200","121.0100","119.2800"
"2018/01/31","120.3000","4018071.0000","119.8400","120.7500","119.5100"
"2018/01/30","119.8900","4728164.0000","119.6800","121.2000","119.5000"
"2018/01/29","119.6700","3852103.0000","121.3800","122.1600","119.6500"
"2018/01/26","121.7600","3413579.0000","120.6100","121.8400","120.6100"
"2018/01/25","120.9000","2713029.0000","120.6100","121.4532","120.3600"
"2018/01/24","121.1400","3458592.0000","121.2400","121.4800","120.8200"
"2018/01/23","121.3000","3536882.0000","121.0700","122.5100","120.8500"
"2018/01/22","121.5100","4308565.0000","120.1000","121.8500","120.0000"
"2018/01/19","120.1700","5976505.0000","119.4800","120.6800","118.6400"
"2018/01/18","119.0500","5861538.0000","119.0900","119.6200","118.6500"
"2018/01/17","119.1800","4554530.0000","118.2900","120.1700","118.2100"
"2018/01/16","117.8600","4927694.0000","117.2000","118.3500","117.0300"
"2018/01/12","117.3800","4335547.0000","116.9500","118.0100","116.8500"
"2018/01/11","116.8800","3679596.0000","117.6400","117.8500","116.3800"
"2018/01/10","117.4800","3199146.0000","118.1300","118.3600","116.7000"
"2018/01/09","118.0800","4573547.0000","118.2600","118.9800","117.9500"
"2018/01/08","117.9900","5729591.0000","118.2100","118.7400","117.6700"
"2018/01/05","118.6700","2713218.0000","118.4100","119.0900","118.2450"
"2018/01/04","118.3300","3146552.0000","117.8000","119.1100","117.6000"
"2018/01/03","117.7500","4224441.0000","117.9050","118.4700","117.6400"
"2018/01/02","118.0600","4162264.0000","119.9300","120.1800","117.9251"
"2017/12/29","119.9200","3116343.0000","119.4600","120.5700","119.4200"
"2017/12/28","119.3500","1999251.0000","119.3300","119.5300","119.0500"
"2017/12/27","119.3000","2465023.0000","118.8700","119.4000","118.8000"
"2017/12/26","118.8900","2156768.0000","118.4100","119.2400","118.4100"
"2017/12/22","118.6000","2043311.0000","118.6000","118.7500","118.1700"
"2017/12/21","118.2600","2790002.0000","119.4500","119.5700","117.8400"
"2017/12/20","119.0200","4165818.0000","118.6600","119.1200","117.5600"
"2017/12/19","118.6100","3942543.0000","118.7500","119.3850","118.2300"
"2017/12/18","118.0500","3472719.0000","119.3000","119.7400","118.0000"
"2017/12/15","119.2200","7172702.0000","118.5700","119.3600","118.4500"
"2017/12/14","118.0200","4055532.0000","117.9400","118.6000","117.7250"
"2017/12/13","117.8000","3023839.0000","117.5100","118.2100","117.4800"
"2017/12/12","117.4000","2664232.0000","117.6000","118.3700","117.1200"
"2017/12/11","117.3900","2429359.0000","116.3300","117.4350","115.5600"
"2017/12/08","116.5700","3127482.0000","116.5200","116.6000","115.9000"
"2017/12/07","116.7300","5408633.0000","118.5200","118.6400","116.5500"
"2017/12/06","118.9000","3203456.0000","117.8300","118.9100","117.6400"
"2017/12/05","117.5900","3194480.0000","117.6300","117.9400","117.1800"
"2017/12/04","117.4600","4396689.0000","117.0000","118.2000","116.6200"
"2017/12/01","116.7800","4956550.0000","116.5000","116.8500","115.0400"
"2017/11/30","116.5200","5983950.0000","116.5200","117.2100","116.0800"
"2017/11/29","116.8400","3274486.0000","116.8400","117.3800","116.2900"
"2017/11/28","116.7700","3600399.0000","116.2600","116.8300","115.3000"
"2017/11/27","115.8500","2818867.0000","116.0000","116.4000","115.6600"
"2017/11/24","115.9000","1183004.0000","115.6500","116.3000","115.4250"
"2017/11/22","115.0800","3591397.0000","115.7700","116.0000","114.2800"
"2017/11/21","116.0500","3176176.0000","114.9900","116.3300","114.9700"
"2017/11/20","114.9100","3430106.0000","114.7500","115.8500","114.7100"
"2017/11/17","114.6800","2646314.0000","114.7300","115.1400","114.5300"
"2017/11/16","115.2300","3018231.0000","115.3900","115.8350","114.9400"
"2017/11/15","115.1000","3858011.0000","115.6500","115.9300","114.3100"
"2017/11/14","115.7600","4998865.0000","113.6900","116.1900","113.5900"
"2017/11/13","114.0400","3190698.0000","112.6900","114.1900","112.6400"
"2017/11/10","112.7500","3699254.0000","111.4400","112.9750","111.3100"
"2017/11/09","111.4800","2856778.0000","111.3500","112.4400","111.0200"
"2017/11/08","112.0000","3684289.0000","110.5700","112.0400","110.5000"
"2017/11/07","110.4700","3882043.0000","109.1500","110.5800","109.1500"
"2017/11/06","109.2600","3331765.0000","109.9700","110.0000","109.1900"
"2017/11/03","110.2200","1725611.0000","110.1400","110.6500","110.0000"
"2017/11/02","110.0500","2169838.0000","109.9100","110.1800","109.5400"
"2017/11/01","110.1300","2809004.0000","109.7600","110.6800","109.6100"
"2017/10/31","110.2300","4367830.0000","110.2400","110.7650","109.9500"
"2017/10/30","109.6500","2206111.0000","110.3600","110.3700","109.3600"
"2017/10/27","110.6000","3343204.0000","110.4100","110.8475","109.9300"
"2017/10/26","110.7300","2864970.0000","110.6700","111.2400","110.4100"
"2017/10/25","110.0700","3836912.0000","110.4300","110.5290","109.1800"
"2017/10/24","110.7500","3319622.0000","111.8400","111.8658","110.2800"
"2017/10/23","111.6900","2263178.0000","111.6400","112.4500","111.4000"
"2017/10/20","111.6100","3694726.0000","113.0100","113.0200","111.3800"
"2017/10/19","112.6700","2497362.0000","111.6200","112.7900","111.6000"
"2017/10/18","111.9500","2590285.0000","111.9500","112.4400","111.7800"
"2017/10/17","112.1900","3824354.0000","113.2200","113.5600","111.6600"
"2017/10/16","113.5700","2675935.0000","112.9300","113.6300","112.6900"
"2017/10/13","112.6200","3090450.0000","112.7300","112.9800","112.1800"
"2017/10/12","112.4500","3360704.0000","111.5100","112.5100","111.3800"
"2017/10/11","111.5100","4050896.0000","110.9000","111.8100","110.7700"
"2017/10/10","110.7800","3031809.0000","110.2800","110.8600","110.2800"
"2017/10/09","110.0100","1977770.0000","110.5900","110.9300","109.7900"
"2017/10/06","110.4000","3240141.0000","110.1700","110.6700","109.9200"
"2017/10/05","110.4500","5668460.0000","109.6600","110.9900","109.5500"
"2017/10/04","109.3400","9057624.0000","106.9400","110.1600","106.1900"
"2017/10/03","109.1300","6057255.0000","109.4200","109.6500","108.8900"
"2017/10/02","109.1200","8287380.0000","109.9100","110.5200","108.9600"
"2017/09/29","111.4300","5103265.0000","111.8700","112.0300","111.2100"
"2017/09/28","111.6400","11579470.0000","111.3700","112.7300","111.1900"
"2017/09/27","111.1000","4013006.0000","111.7200","111.8750","110.3400"
