"date","close","volume","open","high","low"
"14:15","208.09","572,520","207.32","208.47","206.24"
"2018/10/01","207.5100","1253260.0000","207.3300","207.6700","205.7000"
"2018/09/28","206.6600","1352045.0000","205.9900","206.7800","205.2650"
"2018/09/27","205.9400","1422188.0000","205.4700","206.8700","204.1500"
"2018/09/26","205.2400","998785.0000","205.4000","206.7500","204.5100"
"2018/09/25","205.1800","1169666.0000","202.9300","205.5100","201.7200"
"2018/09/24","202.3600","810647.0000","202.6600","203.2200","201.1900"
"2018/09/21","203.4600","2487769.0000","201.4200","203.8300","201.3200"
"2018/09/20","200.8100","2219052.0000","205.4600","205.8200","198.1800"
"2018/09/19","205.1700","1576041.0000","207.9000","210.8900","203.4900"
"2018/09/18","207.9000","1334841.0000","205.4700","208.2850","205.2000"
"2018/09/17","205.0100","1392322.0000","203.3000","205.9300","202.7600"
"2018/09/14","203.1600","1101744.0000","200.9600","203.9900","200.3500"
"2018/09/13","200.8300","920957.0000","199.0400","201.1900","199.0400"
"2018/09/12","198.3500","1096338.0000","197.6700","198.6000","197.0200"
"2018/09/11","197.5300","1542612.0000","198.4900","199.3800","197.2000"
"2018/09/10","199.1800","1002538.0000","200.9900","201.0100","199.1300"
"2018/09/07","200.3800","1274796.0000","201.6200","202.9600","199.5500"
"2018/09/06","202.2100","1423603.0000","198.5000","202.5800","198.3400"
"2018/09/05","198.0300","1184734.0000","197.8800","198.9300","196.8800"
"2018/09/04","198.3400","1443648.0000","199.0000","199.2900","197.1100"
"2018/08/31","199.4400","1441212.0000","198.1200","199.7100","197.4300"
"2018/08/30","199.1700","1152694.0000","199.7600","201.6400","198.5000"
"2018/08/29","200.0600","981782.0000","200.4300","200.4300","199.0700"
"2018/08/28","200.0700","1388509.0000","202.0000","202.0000","199.2100"
"2018/08/27","201.4800","1455018.0000","200.9900","202.1600","200.4000"
"2018/08/24","200.0800","964544.0000","198.1900","200.2200","198.0688"
"2018/08/23","198.1800","1067537.0000","199.1500","199.6197","197.4300"
"2018/08/22","199.4100","1342723.0000","200.3800","200.4400","199.2000"
"2018/08/21","200.6000","1459551.0000","200.1200","201.2000","199.5200"
"2018/08/20","200.4500","1290586.0000","199.7900","201.1000","199.1600"
"2018/08/17","199.0900","1528317.0000","198.5100","199.8000","197.3410"
"2018/08/16","198.5100","1113455.0000","196.6800","199.1450","196.3600"
"2018/08/15","194.9300","1378846.0000","196.9400","197.1040","193.8000"
"2018/08/14","197.5600","975217.0000","196.5800","197.8400","196.0000"
"2018/08/13","196.1000","1314968.0000","196.0600","197.3500","195.1000"
"2018/08/10","196.3500","1241175.0000","195.8100","197.1700","194.5200"
"2018/08/09","196.1000","1033069.0000","197.4900","197.7200","195.6500"
"2018/08/08","197.5200","945721.0000","197.5000","197.9100","195.8600"
"2018/08/07","197.3900","1295798.0000","196.0100","198.5900","195.4350"
"2018/08/06","196.1600","1452127.0000","196.1600","196.7000","193.3600"
"2018/08/03","195.8000","1512476.0000","197.5000","197.9200","193.6900"
"2018/08/02","197.1700","1456924.0000","196.2800","197.5800","195.2224"
"2018/08/01","197.3500","1683874.0000","197.6200","198.7700","196.0600"
"2018/07/31","198.0300","2510583.0000","194.1200","198.3700","193.8000"
"2018/07/30","193.4300","1438536.0000","196.2300","197.4900","193.0700"
"2018/07/27","196.1800","2728312.0000","193.5500","196.3900","193.3000"
"2018/07/26","192.4300","4634478.0000","192.0000","193.2900","186.0300"
"2018/07/25","197.5600","2879040.0000","196.8000","197.7500","192.8759"
"2018/07/24","196.9900","3305203.0000","198.0900","200.9895","193.0000"
"2018/07/23","196.7100","2192708.0000","201.6400","202.3500","196.5000"
"2018/07/20","201.4400","1025504.0000","201.1100","202.5700","200.0900"
"2018/07/19","201.3700","892924.0000","201.0900","201.8400","200.2792"
"2018/07/18","201.5200","1193006.0000","200.8700","202.6200","200.3250"
"2018/07/17","200.2400","888720.0000","199.5600","201.0500","198.7200"
"2018/07/16","199.6100","1349919.0000","200.0000","202.0000","199.1900"
"2018/07/13","199.7500","1520580.0000","197.7200","199.9000","197.2500"
"2018/07/12","197.5200","1714854.0000","195.4900","197.8500","194.9200"
"2018/07/11","194.0300","1307392.0000","194.9600","195.4200","193.4000"
"2018/07/10","195.9100","1808679.0000","197.3100","198.2100","194.8200"
"2018/07/09","197.3200","1440316.0000","194.3300","197.7700","194.0500"
"2018/07/06","193.5700","1413474.0000","193.1600","194.7200","191.0600"
"2018/07/05","193.6300","1263795.0000","195.8100","196.2500","192.9800"
"2018/07/03","195.0300","871753.0000","195.2400","196.8700","194.4600"
"2018/07/02","194.3900","950091.0000","192.8800","194.5900","191.2700"
