"date","close","volume","open","high","low"
"14:19","73.55","754,049","73.16","73.68","73.07"
"2018/10/01","73.0300","2535041.0000","73.5000","73.9100","72.9400"
"2018/09/28","73.2500","2159167.0000","72.9100","73.6800","72.7600"
"2018/09/27","72.8300","1740984.0000","72.8000","73.3100","72.4100"
"2018/09/26","72.9400","2366142.0000","73.1300","73.5024","72.9000"
"2018/09/25","73.0600","1461023.0000","72.9800","73.5900","72.9420"
"2018/09/24","72.9500","2339813.0000","72.9600","73.3400","72.7200"
"2018/09/21","72.9700","3550270.0000","73.2500","73.3700","72.6000"
"2018/09/20","73.2900","1627837.0000","73.1300","73.5100","72.7800"
"2018/09/19","72.9200","1772232.0000","73.0300","73.4000","72.7100"
"2018/09/18","73.0500","2490566.0000","73.5900","73.7300","72.9700"
"2018/09/17","73.4900","2288016.0000","73.7100","73.7100","72.9100"
"2018/09/14","73.5400","3357449.0000","73.3500","73.7500","73.0100"
"2018/09/13","73.6000","3662858.0000","74.0000","74.4700","73.4550"
"2018/09/12","74.4900","5496722.0000","74.9100","75.0800","73.7800"
"2018/09/11","74.9500","3411525.0000","75.2900","75.3200","74.8200"
"2018/09/10","75.0400","4764914.0000","74.9100","75.7200","74.7800"
"2018/09/07","74.7000","3584094.0000","74.8000","75.3800","74.6200"
"2018/09/06","74.9700","3717269.0000","74.5300","75.1200","74.5300"
"2018/09/05","75.0000","3205934.0000","75.1300","75.2600","74.8000"
"2018/09/04","75.3500","1887801.0000","74.4000","75.4300","74.4000"
"2018/08/31","74.8200","1855527.0000","74.1500","74.8900","73.9900"
"2018/08/30","73.9700","2042921.0000","74.1300","74.4550","73.9000"
"2018/08/29","74.1800","2763406.0000","74.5800","74.8900","73.6700"
"2018/08/28","74.4000","1880014.0000","74.5400","75.0000","74.2800"
"2018/08/27","74.5400","2229356.0000","75.2700","75.4180","74.3500"
"2018/08/24","75.7800","2398270.0000","75.4300","75.9800","75.1500"
"2018/08/23","75.2100","2377019.0000","75.0000","75.5000","74.9300"
"2018/08/22","75.0800","1796070.0000","74.5200","75.2000","74.3500"
"2018/08/21","74.3700","2825666.0000","75.1300","75.2100","74.1200"
"2018/08/20","75.1800","2714046.0000","74.9100","75.2400","74.4300"
"2018/08/17","74.8300","4978921.0000","73.9400","75.0000","73.6200"
"2018/08/16","73.8800","3027498.0000","75.2000","75.3300","73.3500"
"2018/08/15","74.8900","3188886.0000","73.7400","75.1300","73.0500"
"2018/08/14","74.1900","3954177.0000","73.1800","74.7401","72.4400"
"2018/08/13","72.7500","8017889.0000","71.0900","74.0500","71.0900"
"2018/08/10","68.4800","3867275.0000","68.8200","69.5600","68.1600"
"2018/08/09","70.0300","1744577.0000","69.9800","70.6750","69.8500"
"2018/08/08","69.8500","2087978.0000","69.5600","70.0900","69.3550"
"2018/08/07","69.5500","2136788.0000","69.9300","69.9900","69.2900"
"2018/08/06","69.7200","3598816.0000","68.8800","70.0900","68.8800"
"2018/08/03","68.5700","1713001.0000","68.1700","68.8300","68.1150"
"2018/08/02","68.0400","3220550.0000","66.9500","68.2500","66.8600"
"2018/08/01","67.0700","3015844.0000","67.2100","67.6100","66.6500"
"2018/07/31","67.2100","5212335.0000","66.5300","67.5400","66.3000"
"2018/07/30","66.6700","7974454.0000","70.9100","71.0300","65.7800"
"2018/07/27","71.4800","1793814.0000","71.8300","71.9700","71.3501"
"2018/07/26","71.7400","1891059.0000","71.1200","71.9300","71.1200"
"2018/07/25","70.9300","1781006.0000","70.2400","70.9700","70.0550"
"2018/07/24","70.2300","2525866.0000","70.3400","70.7900","69.8700"
"2018/07/23","70.8600","1573673.0000","71.1000","71.5600","70.7200"
"2018/07/20","71.0000","1886753.0000","70.7000","71.2300","70.6800"
"2018/07/19","70.8800","2377095.0000","70.4500","71.0500","70.0800"
"2018/07/18","70.3200","2553433.0000","71.0800","71.3000","70.2250"
"2018/07/17","71.0700","1870680.0000","70.4500","71.3200","70.4500"
"2018/07/16","70.4900","1894509.0000","70.6100","70.8700","70.3200"
"2018/07/13","70.7400","1552008.0000","69.7500","70.8300","69.5800"
"2018/07/12","69.8400","1348132.0000","69.5700","69.9400","69.4000"
"2018/07/11","69.4000","1752756.0000","69.5800","69.6400","68.9700"
"2018/07/10","69.6500","1421835.0000","69.3900","69.9100","69.2700"
"2018/07/09","69.3300","1654434.0000","69.5400","69.7900","69.1400"
"2018/07/06","69.3800","1442086.0000","69.1600","69.6500","69.1000"
"2018/07/05","69.3600","1667331.0000","68.3600","69.3800","68.3300"
