"date","close","volume","open","high","low"
"14:03","15.99","1,133,418","15.91","16.13","15.57"
"2018/10/01","16.1700","2083435.0000","17.1100","17.7800","16.0200"
"2018/09/28","17.2200","2699763.0000","17.0500","17.9300","16.9000"
"2018/09/27","17.1200","2020553.0000","17.6400","17.9400","16.8600"
"2018/09/26","17.5600","2781059.0000","17.2200","18.0500","16.9100"
"2018/09/25","17.2900","4497145.0000","18.3200","19.2100","16.8100"
"2018/09/24","19.0700","19521200.0000","15.9900","19.9400","15.7700"
"2018/09/21","14.5000","2411086.0000","14.5300","14.7700","14.4000"
"2018/09/20","14.5300","817237.0000","14.4300","14.6200","14.2000"
"2018/09/19","14.3500","853800.0000","14.2200","14.4500","13.9200"
"2018/09/18","14.2500","747768.0000","14.0500","14.4000","13.9600"
"2018/09/17","13.9700","657139.0000","14.2500","14.3265","13.8100"
"2018/09/14","14.3100","690403.0000","14.5200","14.7200","14.2900"
"2018/09/13","14.5600","511215.0000","14.6900","14.8150","14.4100"
"2018/09/12","14.6100","531382.0000","14.5700","14.7000","14.3300"
"2018/09/11","14.5600","706761.0000","14.0900","14.6500","13.8816"
"2018/09/10","14.1100","720690.0000","13.6600","14.1400","13.5100"
"2018/09/07","13.6500","837090.0000","13.8000","14.1600","13.5700"
"2018/09/06","13.8800","910680.0000","14.7700","14.9400","13.8600"
"2018/09/05","14.7900","684723.0000","14.7500","15.1600","14.6200"
"2018/09/04","15.0900","943880.0000","15.4100","15.5300","14.6600"
"2018/08/31","15.3800","533407.0000","15.1600","15.3900","15.1300"
"2018/08/30","15.2200","692708.0000","15.5500","15.7600","15.1400"
"2018/08/29","15.6500","779047.0000","15.6800","15.9700","15.5000"
"2018/08/28","15.6000","667877.0000","15.2800","15.7400","15.2000"
"2018/08/27","15.3200","747848.0000","15.2100","15.4899","15.0700"
"2018/08/24","15.1600","712515.0000","15.0200","15.4100","14.9000"
"2018/08/23","14.9700","734310.0000","14.9300","15.1400","14.7000"
"2018/08/22","14.9900","772063.0000","14.8400","15.1250","14.8100"
"2018/08/21","14.8300","730025.0000","14.6200","15.0500","14.5430"
"2018/08/20","14.5000","644896.0000","14.4800","14.5700","14.2500"
"2018/08/17","14.3600","624394.0000","14.2000","14.4900","14.0700"
"2018/08/16","14.2000","950597.0000","13.7800","14.2450","13.4200"
"2018/08/15","13.7400","1114721.0000","14.1000","14.1939","13.5900"
"2018/08/14","14.1900","719123.0000","14.1000","14.3700","13.9600"
"2018/08/13","14.1000","1568719.0000","14.9600","14.9600","13.9700"
"2018/08/10","15.0500","3024986.0000","14.0000","15.3300","13.4000"
"2018/08/09","15.3900","1576938.0000","15.3900","16.1300","15.2700"
"2018/08/08","15.2700","795918.0000","15.6100","15.6700","14.9400"
"2018/08/07","15.5900","1255459.0000","14.5900","15.7277","14.3300"
"2018/08/06","14.5900","711399.0000","14.8000","15.0150","14.4900"
"2018/08/03","14.7200","707697.0000","14.7600","15.0100","14.5700"
"2018/08/02","14.8200","541711.0000","14.4800","14.8800","14.4000"
"2018/08/01","14.5800","844769.0000","14.6700","14.9000","14.4633"
"2018/07/31","14.6600","870150.0000","14.0200","14.7000","13.9800"
"2018/07/30","14.0100","1007363.0000","13.7900","14.2500","13.5900"
"2018/07/27","13.7900","1564855.0000","14.6300","14.6500","13.7300"
"2018/07/26","14.6400","1408877.0000","13.9800","14.8000","13.8000"
"2018/07/25","13.9900","851058.0000","13.9100","14.3000","13.8100"
"2018/07/24","13.9700","1364262.0000","14.7200","14.7300","13.8601"
"2018/07/23","14.6100","887294.0000","14.7200","14.8600","14.2000"
"2018/07/20","14.7500","2420881.0000","14.6900","15.0000","14.6000"
"2018/07/19","14.6700","1079004.0000","14.3100","14.8700","14.2500"
"2018/07/18","14.3500","1047307.0000","14.5400","14.7500","14.3000"
"2018/07/17","14.6400","988983.0000","14.5100","14.9100","14.5100"
