2012, 2013, 2014, 2015, 2016, 2017
0.375, 1.25, 0.625, 0.375, -0.875, 0.5
-0.375, 1.375, -0.375, 2.625, -2.75, 4.375
2.0, 0.125, -0.25, 0.75, 1.0, 4.875
1.25, 0.375, 0.375, 1.0, 0, 4.875
2.375, 0.25, 0.375, 2.875, 1.0, 6.375
-0.125, 0.5, 0.875, 1.875, 2.125, 3.125
-0.25, 2.125, 0.125, 1.875, 3.125, 6.375
0.25, -0.625, 0.25, 0, -0.125, 0.375
1.125, 0.5, 0.125, 1.125, 0.375, -0.875
3.125, 1.0, 1.25, -0.75, 0.0, 3.75
-1.125, 0.0, 1.625, 1.0, 0.375, 0.0
1.625, 2.625, 0.875, 1.375, 0.0, 11.375
3.375, 2.625, 0.0, -2.875, 9.125, 5.875
1.0, 5.125, -0.25, 2.125, 4.125, -0.625
2.5, 3.125, 0.625, 2.0, 1.25, 0
2.75, 0.25, -0.125, -1.125, 1.75, 0
0.875, 4.125, 0.875, 0.875, 6.375, 0
4.0, 10.625, 0.125, -1.75, 4.125, 0
-0.625, 8.5, -0.125, 2.875, 4.5, 0
-0.25, 4.875, 1.25, 0.0, 1.75, 0
3.625, 0.375, 6.125, 1.625, 2.875, 0
-1.375, 0.25, -0.25, 0.375, 6.0, 0
0.375, -0.5, -0.125, 0.125, -3.125, 0
-1.125, 1.0, 1.0, 1.375, -5.25, 0
0.0, -1.375, -0.375, -0.75, -2.875, 0
2.125, -0.625, 0, 3.5, -2.75, 0
-0.875, -0.25, 1.25, -1.875, 2.75, 0
-0.375, 0.125, 0.125, 1.5, 4.5, 0
1.75, -0.125, 0.25, 0.0, 5.5, 0
0.75, 0.75, 0.625, 0, 2.875, 0
7.875, 0.0, 1.125, 1.625, 0.125, 0
0.0, 0.0, -0.25, 0.375, 1.5, 0
0.25, -0.75, -0.25, 1.125, -0.5, 0
2.125, 2.125, -0.5, 3.0, -1.25, 0
2.5, 0, -0.5, 1.625, 2.125, 0
0.0, 1.125, -0.25, 0.25, 0.5, 0
-0.5, 0.375, 0.75, -0.125, -0.5, 0
0.625, -0.25, 0.5, 0.125, 3.375, 0
0.125, 3.75, 0.375, 1.125, 5.75, 0
-0.625, 0.0, -0.375, 3.625, 6.375, 0
0.125, 0.0, 0.0, 6.125, 1.0, 0
-0.375, 0, -0.5, 4.625, 2.125, 0
1.625, 0.0, -1.25, 7.75, 2.75, 0
0.0, 0.375, 1.0, 2.25, 4.875, 0
0.125, -0.5, 0.0, 1.0, 0.875, 0
2.0, -0.5, -0.25, -0.25, -0.5, 0
3.625, 0.25, 0.125, 1.0, 2.125, 0
2.625, 1.375, 0.375, 2.375, -0.5, 0
1.5, 4.0, 1.25, -0.375, 0.875, 0
0.125, -0.375, 0.0, -0.375, -0.5, 0
2.25, 1.75, 0.125, 0.375, 2.25, 0
1.875, 1.25, 1.0, 0.5, -1.375, 0
0, 0, 0, 0, -0.25, 0
